Date,Symbol,Open,High,Low,Close,Volume
2022-01-04,000660.KS,129500.0,130000.0,127500.0,128500.0,3622369
2022-01-05,000660.KS,129000.0,129000.0,121500.0,125500.0,7414954
2022-01-06,000660.KS,123500.0,127000.0,123000.0,125000.0,3725569
2022-01-07,000660.KS,127000.0,129000.0,126500.0,127000.0,3270119
2022-01-10,000660.KS,126500.0,127000.0,123000.0,124500.0,3449197
2022-01-11,000660.KS,125500.0,128500.0,124500.0,128000.0,3958787
2022-01-12,000660.KS,129500.0,130000.0,126500.0,128500.0,3552174
2022-01-13,000660.KS,128500.0,130000.0,128000.0,129500.0,4155984
2022-01-14,000660.KS,128500.0,129000.0,126000.0,128500.0,3769648
2022-01-17,000660.KS,127500.0,128000.0,124500.0,127000.0,3730393
2022-01-18,000660.KS,126500.0,127500.0,125000.0,126500.0,3607850
2022-01-19,000660.KS,123500.0,128500.0,123500.0,127000.0,4094609
2022-01-20,000660.KS,126000.0,126500.0,123500.0,125000.0,5441986
2022-01-21,000660.KS,121500.0,122500.0,118000.0,119000.0,6465040
2022-01-24,000660.KS,116500.0,120500.0,116500.0,119000.0,4883822
2022-01-25,000660.KS,118000.0,120000.0,116500.0,118000.0,5702595
2022-01-26,000660.KS,118000.0,118000.0,118000.0,118000.0,0
2022-01-27,000660.KS,119500.0,119500.0,111000.0,113500.0,6679404
2022-01-28,000660.KS,115000.0,121500.0,114500.0,120500.0,4776510
2022-02-03,000660.KS,124500.0,127000.0,124000.0,124000.0,5171178
2022-02-04,000660.KS,125500.0,127000.0,124000.0,124500.0,3037097
2022-02-07,000660.KS,123000.0,123500.0,119500.0,123000.0,4804261
2022-02-08,000660.KS,123000.0,123000.0,123000.0,123000.0,0
2022-02-09,000660.KS,123000.0,123000.0,123000.0,123000.0,0
2022-02-10,000660.KS,129000.0,131000.0,127000.0,129500.0,7269729
2022-02-11,000660.KS,130500.0,132500.0,130000.0,132000.0,6057207
2022-02-14,000660.KS,130000.0,132500.0,129500.0,132500.0,4962205
2022-02-15,000660.KS,131500.0,132000.0,127000.0,127000.0,5097120
2022-02-16,000660.KS,131000.0,132500.0,130000.0,130500.0,3499809
2022-02-17,000660.KS,130500.0,134000.0,130000.0,133000.0,5433402
2022-02-18,000660.KS,131500.0,133000.0,129500.0,131500.0,3108887
2022-02-21,000660.KS,131500.0,131500.0,131500.0,131500.0,0
2022-02-22,000660.KS,131500.0,131500.0,131500.0,131500.0,0
2022-02-23,000660.KS,131500.0,131500.0,131500.0,131500.0,0
2022-02-24,000660.KS,125500.0,126000.0,122000.0,122500.0,5748069
2022-02-25,000660.KS,125500.0,126000.0,122500.0,123000.0,3309625
2022-02-28,000660.KS,123000.0,123000.0,123000.0,123000.0,0
2022-03-02,000660.KS,124500.0,126500.0,123000.0,125000.0,2903340
2022-03-03,000660.KS,128000.0,129500.0,127000.0,129000.0,3088097
2022-03-04,000660.KS,129000.0,129000.0,129000.0,129000.0,0
2022-03-07,000660.KS,119000.0,121000.0,119000.0,119500.0,5203286
2022-03-08,000660.KS,117000.0,119500.0,116500.0,118000.0,3619045
2022-03-10,000660.KS,118000.0,118000.0,118000.0,118000.0,0
2022-03-11,000660.KS,118000.0,118000.0,118000.0,118000.0,0
2022-03-14,000660.KS,115500.0,117000.0,114500.0,116000.0,3172353
2022-03-15,000660.KS,116000.0,116000.0,116000.0,116000.0,0
2022-03-16,000660.KS,116000.0,116000.0,116000.0,116000.0,0
2022-03-17,000660.KS,116000.0,116000.0,116000.0,116000.0,0
2022-03-18,000660.KS,124000.0,125000.0,121000.0,124000.0,4493159
2022-03-21,000660.KS,124000.0,124000.0,124000.0,124000.0,0
2022-03-22,000660.KS,121000.0,124000.0,121000.0,123500.0,2246439
2022-03-23,000660.KS,124000.0,124500.0,122000.0,123500.0,4085633
2022-03-24,000660.KS,121000.0,122000.0,119500.0,120500.0,4215272
2022-03-25,000660.KS,122000.0,123000.0,118000.0,118000.0,5514940
2022-03-28,000660.KS,117500.0,119500.0,116500.0,118000.0,3234792
